,订单id,订单创建时间,订单关闭时间,订单取消时间,用户id,支付状态,物流状态,订单处理时间,实际付款金额,物流价格,扣后价格,总折扣,总售价
0,7675398239,2016-08-21,2016-08-25,2016-08-22,8683754719,voided,,2016-08-21,44.57,6.33,35.0,0.0,35.0
1,7676331935,2016-08-22,2016-08-22,,8686224991,refunded,,2016-08-22,124.55,0.00,114.0,0.0,114.0
2,7676363167,2016-08-22,,2016-08-22,8686224991,voided,,2016-08-22,97.68,7.00,83.0,0.0,83.0
3,7676539359,2016-08-22,2016-08-22,,8686915935,paid,fulfilled,2016-08-22,131.1,0.00,120.0,0.0,120.0
4,7676549855,2016-08-22,2016-08-22,,8686924319,paid,fulfilled,2016-08-22,91.12,7.00,77.0,0.0,77.0
5,7676553055,2016-08-22,2016-08-22,,8687041311,paid,fulfilled,2016-08-22,75.0,7.00,68.0,0.0,68.0
6,7676564127,2016-08-22,2016-08-22,,8687317279,paid,fulfilled,2016-08-22,94.4,7.00,80.0,0.0,80.0
7,7676566815,2016-08-22,2016-08-22,,8687317407,paid,fulfilled,2016-08-22,34.31,7.00,25.0,0.0,25.0
8,7676567711,2016-08-22,2016-08-22,,8687301023,partially_refunded,fulfilled,2016-08-22,97.68,7.00,83.0,0.0,83.0
9,7676582495,2016-08-22,2016-08-22,,8687334751,paid,fulfilled,2016-08-22,168.0,0.00,168.0,0.0,168.0
10,7676590623,2016-08-22,2016-08-22,,8687338847,paid,fulfilled,2016-08-22,56.16,7.00,45.0,0.0,45.0
11,7676594463,2016-08-22,2016-08-22,,8687175327,paid,fulfilled,2016-08-22,108.6,7.00,93.0,0.0,93.0
12,7676596255,2016-08-22,2016-08-22,,8687323487,refunded,fulfilled,2016-08-22,95.93,37.93,58.0,0.0,58.0
13,7676602079,2016-08-22,2016-08-22,,8687346591,paid,fulfilled,2016-08-22,114.71,0.00,105.0,0.0,105.0
14,7676610719,2016-08-22,2016-08-22,,8687351327,paid,fulfilled,2016-08-22,34.31,7.00,25.0,0.0,25.0
